slug,firma,branza,miasto,telefon,zrodlo_ogloszenia,data_demo,data_wyslania,status,odpowiedzial,odpowiedz_krotka,cena_zaproponowana_pln,cena_finalna_pln,preview_url,git_branch,kanal_kontaktu,notatki
hydraulik-nowak,Hydraulik Nowak,hydraulika,Kraków,+48600100200,,,,"szablon",n/a,,,,,main,,"Fikcyjny starter w repo — nie lead outreachowy"
lena-manicure-wroclaw,Lena,beauty / paznokcie,Wrocław,+48735211196,https://www.olx.pl/d/oferta/manicure-pedicure-CID4371-IDYemMg.html,2026-08-28,,demo,n/a,,,,https://pitch-site-git-pitch-lena-1ab3ae-michalkozlowski2017s-projects.vercel.app,pitch/lena-manicure-wroclaw,OLX,"Greenfield — brak www/IG; ul. Pereca; 8 zdj portfolio z OLX"
lapko-cure-lodz,Łapko-cure,beauty / paznokcie,Łódź,+48516437467,https://www.olx.pl/d/oferta/manicure-hybrydowy-dojazd-do-klientki-szybkie-terminy-CID4371-ID1bWKKk.html,2026-08-29,,demo,n/a,,,,,pitch/lapko-cure-lodz,OLX,"Greenfield mobilny; cennik w OLX; 4 zdj; score 87; dojazd gratis cała Łódź"
